seed,strategy,final_equity_gross,final_equity_net,cum_return_gross,cum_return_net,sharpe_gross,sharpe_net,max_drawdown_gross,max_drawdown_net,avg_turnover,max_turnover,avg_max_weight,has_nan_weights,avg_cost_coeff,avg_realised_tc
1,simple,2.977157579709078,2.367721839200417,1.977157579709078,1.3677218392004171,1.1936776573326844,0.9730631721190386,-0.2542040020268639,-0.3098871100134298,0.0966669864054727,0.8000005636395545,0.0999971296339135,False,0.002,0.0002247184170181
1,enhanced,3.1676370406840624,2.9336150625050657,2.1676370406840624,1.9336150625050657,1.2642823244590875,1.1892452815793555,-0.2710904024431453,-0.2918655084641623,0.0372840500484112,0.0504258221871399,0.099854971457616,False,0.002,7.516441792726352e-05
2,simple,2.9248724380052584,2.302952085100806,1.9248724380052584,1.3029520851008058,1.1329575350059533,0.911015274864582,-0.2642437388124726,-0.3187634087799084,0.0982660989961639,0.7617521519199059,0.0999981409728669,False,0.002,0.0002333403649837
2,enhanced,3.2300820715218235,2.9864677402718414,2.2300820715218235,1.9864677402718411,1.212990195213079,1.1412330339394712,-0.2661068312259186,-0.2854803572771127,0.0364086210811525,0.0504235549379,0.0998542310806277,False,0.002,7.657754101916069e-05
3,simple,4.3352457479151445,3.5238734197296924,3.3352457479151445,2.5238734197296924,1.4177957600204518,1.2398965043576464,-0.228439724514371,-0.2580362707021472,0.0868090600672518,0.6002042223039832,0.0999978105176821,False,0.002,0.0002031164441787
3,enhanced,4.195980656615175,3.885321704343138,3.195980656615175,2.885321704343138,1.4046987339574457,1.3372851587919,-0.2350811369578153,-0.2480016749205023,0.0359227053530049,0.0505386178359072,0.0998553219661027,False,0.002,7.527808691429002e-05
4,simple,2.712165141452292,2.163760737566703,1.7121651414522918,1.1637607375667032,1.005940215463878,0.8132166550194967,-0.3379114625549528,-0.3741349764657274,0.0953166592176046,0.8000010888712621,0.0999977678093664,False,0.0019999999999999,0.0002231585188753
4,enhanced,2.824929736131816,2.607395581121164,1.824929736131816,1.607395581121164,1.0491997040559868,0.9795040589614556,-0.3164574006482391,-0.3323799898425736,0.0380196781225776,0.0504173853443532,0.0998544797196872,False,0.0019999999999999,7.879338825375983e-05
5,simple,2.3272437587621053,1.8122044932582413,1.327243758762105,0.8122044932582415,0.8618202376834505,0.6505132267573678,-0.3950379176062402,-0.4370005946937486,0.1038884913011464,1.080305789945984,0.0999981748149689,False,0.002,0.0002450800942352
5,enhanced,2.791984092605133,2.568524708100654,1.7919840926051331,1.568524708100654,1.010479264630648,0.9404280601886325,-0.3917361286761819,-0.4092882579055215,0.0400372519575753,0.0503998537885118,0.099838208515664,False,0.002,8.157389574542018e-05
6,simple,2.6627044378006826,2.110478906062352,1.6627044378006826,1.110478906062352,1.1070673372117044,0.8758388954509873,-0.3029574205798432,-0.3465214412193557,0.1003234782830214,0.852367277055664,0.0999979864593448,False,0.002,0.0002283901893193
6,enhanced,2.859264374736275,2.6454893456519994,1.859264374736275,1.6454893456519994,1.164238923955791,1.0877729901301991,-0.2902468330526252,-0.3070424967163422,0.0368017959351118,0.0504791685930607,0.0998023378630346,False,0.002,7.622257947778867e-05
7,simple,1.777336121340892,1.3995406565470565,0.777336121340892,0.3995406565470563,0.7006219630638509,0.4610244673159675,-0.3164557262850109,-0.3679374131019993,0.0987886950114468,0.7470277311407781,0.0999976693885554,False,0.0019999999999999,0.0002341801724
7,enhanced,2.0334039850813266,1.8820735553666048,1.0334039850813266,0.8820735553666046,0.8229126202203036,0.747074069885629,-0.2953966573852337,-0.3143581952033291,0.0363388750044936,0.0504865016048362,0.0998545432312561,False,0.0019999999999999,7.563892630163905e-05
8,simple,2.736318002381004,2.1735929395289832,1.7363180023810036,1.1735929395289832,1.060715903699232,0.8494112462125744,-0.3389400299972199,-0.380381779440734,0.098186916727033,0.8045908807916436,0.099997465968149,False,0.0019999999999999,0.0002250957271171
8,enhanced,2.5741439749935298,2.3711806024077307,1.5741439749935298,1.3711806024077309,1.0053934260426272,0.9298461227633972,-0.3339193896054737,-0.3566380292769233,0.0391736282081307,0.0503670323189651,0.0998991638237678,False,0.0019999999999999,8.027714158500849e-05
9,simple,2.102210518190108,1.6216086316252152,1.1022105181901076,0.6216086316252152,0.8044087199253633,0.5719023050238718,-0.4315313074040453,-0.4740149569503123,0.1030765259326388,1.094787812747314,0.0999981185522431,False,0.002,0.0002541743424568
9,enhanced,2.4983498819146965,2.306379972999627,1.4983498819146963,1.3063799729996268,0.9529700797031214,0.8821025257941761,-0.4425500966655061,-0.4594709943045101,0.0384466817928768,0.0505030270359421,0.0998316708709019,False,0.002,7.828979122679149e-05
10,simple,1.845873804695284,1.429733347598258,0.8458738046952841,0.4297333475982579,0.6956288142687295,0.4625877164182057,-0.3668555149649934,-0.4082758962219001,0.1014275160962712,1.0000049258284338,0.0999981163862453,False,0.002,0.000250615174283
10,enhanced,2.256295945312609,2.077444161808133,1.2562959453126088,1.077444161808133,0.8839318947364421,0.8079068898848673,-0.3510590828079507,-0.3690180954190096,0.0385291212911388,0.0503839762963878,0.0996439815941545,False,0.002,8.078397306370181e-05
11,simple,2.8282363922028373,2.261343201664759,1.8282363922028373,1.2613432016647592,1.1696320918290042,0.945965302734764,-0.2332710464008486,-0.2757347513248189,0.0906402744941926,0.6000237026587383,0.0999970475646721,False,0.002,0.0002195680207968
11,enhanced,2.977833124803022,2.766832216185793,1.977833124803022,1.7668322161857928,1.197589668338865,1.1257869908125084,-0.250865641467505,-0.2682944263744899,0.0341925946865994,0.0505185554765705,0.099849449630796,False,0.002,7.209447570486515e-05
12,simple,1.976598659236952,1.5598117270113174,0.9765986592369518,0.5598117270113174,0.769170906041499,0.5483727694153577,-0.3598503498502231,-0.406340964838653,0.0969397061490968,0.8000060966396125,0.0999979113879095,False,0.0019999999999999,0.0002315890630718
12,enhanced,1.968540266280601,1.816438213651268,0.9685402662806012,0.816438213651268,0.7640595102312705,0.6890757687144529,-0.3806767163410065,-0.3991432284242187,0.0373078011813829,0.0503977067879411,0.0999090758767118,False,0.0019999999999999,7.84411733435222e-05
13,simple,2.4499752770310024,1.888630855908512,1.4499752770310024,0.8886308559085119,0.9600752953637284,0.7217271653312984,-0.2094239232859057,-0.2675411598940721,0.1061701430219687,0.7999977718175938,0.099998266691312,False,0.0019999999999999,0.0002545211714554
13,enhanced,2.617578524461077,2.408895504729042,1.6175785244610772,1.408895504729042,1.0213639446864895,0.9449536192717524,-0.2035692068780367,-0.2218680905475375,0.0395586057648963,0.0505167628353062,0.0999087863821144,False,0.0019999999999999,8.109039800987052e-05
14,simple,2.695979457608077,2.134988495815351,1.6959794576080771,1.1349884958153509,1.0704972251983915,0.8521395173248763,-0.3471835539706467,-0.3857686832040687,0.0956130114745205,1.0000041951888363,0.0999982313240737,False,0.002,0.0002285751475174
14,enhanced,3.0952380521268648,2.86418232656401,2.0952380521268648,1.86418232656401,1.1912279920936866,1.1187720381732988,-0.3204617714454497,-0.3357956530213196,0.0362806602190672,0.0504116076232359,0.0998223822989668,False,0.002,7.573087632669592e-05
15,simple,1.7035342480650018,1.3061678603737676,0.7035342480650018,0.3061678603737676,0.6347220330280596,0.3831210247526562,-0.3601244963196566,-0.3951170021782859,0.1073586785585713,0.791136148650496,0.0999980132139687,False,0.002,0.0002592906429712
15,enhanced,1.819558964463088,1.675032901422036,0.8195589644630881,0.675032901422036,0.6878997090262541,0.6112112467882231,-0.3435573018887575,-0.3564460046735773,0.0390882649842338,0.0504598291288065,0.0999090947179433,False,0.002,8.085385851292668e-05
16,simple,2.4663142746032314,1.934669567929608,1.4663142746032314,0.9346695679296078,0.926263312333961,0.715153978872487,-0.2580013938911085,-0.2760591891056781,0.0964139328085414,0.707331347610572,0.0999980169924166,False,0.002,0.0002375945835184
16,enhanced,2.8062635682649013,2.593576457492404,1.8062635682649013,1.5935764574924036,1.030060457892961,0.9624181775369548,-0.2709199662423447,-0.2786669428700661,0.0368296865145576,0.0503924590508469,0.0997041282881479,False,0.002,7.716681418702322e-05
17,simple,3.306819168405441,2.675799440729277,2.306819168405441,1.6757994407292771,1.2678712361123023,1.0674020632678982,-0.2648924568815056,-0.309997027272948,0.0878092834663075,0.7636933276296042,0.0999981219051825,False,0.002,0.0002074167125324
17,enhanced,3.5497100895326805,3.3038237875361576,2.5497100895326805,2.3038237875361576,1.3263487553282174,1.259203668407887,-0.2185248272076261,-0.2347180660081251,0.033202647739088,0.0504633308630845,0.0999091268923886,False,0.002,7.04093142842943e-05
18,simple,3.801662301467968,3.067225911124808,2.801662301467968,2.067225911124808,1.3474167517377755,1.154881913517474,-0.1800641360585367,-0.2025863044510379,0.0854632575749825,0.841397066020085,0.0999977134315316,False,0.002,0.0002102563619891
18,enhanced,3.693731021723604,3.434543428276955,2.6937310217236035,2.434543428276955,1.32550386910006,1.2597220901967436,-0.1954172764965225,-0.1992105111311906,0.0335381540574018,0.0503475356071066,0.0999032418123732,False,0.002,7.11985771592724e-05
19,simple,2.408818874152053,1.930022027171575,1.408818874152053,0.9300220271715748,1.0288705429895468,0.8009087171635519,-0.370868090412725,-0.4216457230657842,0.0925729393889899,0.7386009173431175,0.099997332099507,False,0.002,0.0002164547160849
19,enhanced,2.4693954503526854,2.2882516727266884,1.4693954503526854,1.2882516727266884,1.058884720992305,0.979938436804099,-0.3786824288516069,-0.3982691779060894,0.0360765392282617,0.050515429246881,0.0998250738904756,False,0.002,7.434110159341608e-05
20,simple,3.752307526057923,2.9659988081764905,2.752307526057923,1.9659988081764903,1.2205542580058322,1.0313425693097409,-0.2515004028626617,-0.2944851761582576,0.0959308370715882,0.845069414530657,0.0999981195709261,False,0.0019999999999999,0.000229944167824
20,enhanced,3.8942002997549032,3.580761450625223,2.8942002997549032,2.580761450625223,1.252447480796114,1.1848390603975885,-0.2281829245965746,-0.2406848110141477,0.0390985764982688,0.0504059829196084,0.0998548621404983,False,0.0019999999999999,8.2096829920741e-05
21,simple,2.8680436272339938,2.286066902017952,1.8680436272339935,1.2860669020179514,1.0781170320304387,0.8772570441352261,-0.2621411024536362,-0.2855528896445146,0.0933413338568938,0.8817557778669924,0.0999979427584315,False,0.0019999999999999,0.0002234976552737
21,enhanced,3.1786577203599893,2.946161876552352,2.1786577203599893,1.946161876552352,1.170583361161851,1.1031204119182,-0.2628128171357375,-0.2761391219024393,0.036332628127195,0.0503949259052918,0.0999087429599836,False,0.0019999999999999,7.479480676239516e-05
22,simple,2.6810498882896794,2.1329224787830072,1.6810498882896794,1.1329224787830072,1.0790373600438583,0.8601105763129977,-0.2926021724044492,-0.3581498230067895,0.0962448899707791,0.9800956597276174,0.099997716601121,False,0.0019999999999999,0.0002239242320186
22,enhanced,2.986227421573892,2.7792094692041363,1.986227421573892,1.7792094692041365,1.1854881382015965,1.1163413532891102,-0.3078232931499466,-0.3270731826110591,0.0341941257400465,0.0502083976764168,0.0996019474728029,False,0.0019999999999999,7.026570967621942e-05
23,simple,2.768294195629622,2.1973643231779323,1.768294195629622,1.1973643231779325,1.0785491334817168,0.8656731821214404,-0.3939317229030558,-0.4230723303677652,0.096216984237705,0.879870025555066,0.09999792745205,False,0.002,0.0002268935703962
23,enhanced,3.340783306618419,3.0863584949885885,2.340783306618419,2.0863584949885885,1.246274035766319,1.1737130309417882,-0.3581798937643192,-0.3688978359077249,0.037716220346192,0.0504916071040634,0.0999090293016633,False,0.002,7.77512543784162e-05
24,simple,2.429343876149408,1.9565696447393908,1.429343876149408,0.9565696447393908,1.0550638029141035,0.8280659889478866,-0.2373312056387245,-0.264255645659046,0.0858219899748891,0.6792212412838726,0.0999971806393718,False,0.002,0.0002118616567001
24,enhanced,2.519640545878878,2.3430237263384406,1.519640545878878,1.3430237263384406,1.0893660768340063,1.0133557449997577,-0.2428091777884466,-0.2540736599469601,0.0332954088315173,0.0506134096005179,0.0998208636254669,False,0.002,7.107977107441232e-05
25,simple,3.577115117415665,2.9061975084097864,2.577115117415665,1.9061975084097864,1.3328664338999656,1.1396708672361842,-0.2595374991051712,-0.2910221336828139,0.0848209610492932,0.7434388598218055,0.0999981802137791,False,0.002,0.0002032343899646
25,enhanced,3.838717776543965,3.573071049587846,2.838717776543965,2.573071049587846,1.398935705020898,1.3317645329032064,-0.2296388166632926,-0.2419145989212494,0.0331497807398693,0.0504363581607969,0.0998561939000355,False,0.002,7.002533693794415e-05
